552.00		552
279607.00	697
280306.00	699
281005.00	699
281710.00	705
282411.00	701
283118.00	707
283840.00	722
284560.00	720
285292.00	732
286040.00	748
286768.00	728
287506.00	738
288265.00	759
289034.00	769
289766.00	732
290512.00	746
291260.00	748
291976.00	716
292708.00	732
293452.00	744
294174.00	722
294908.00	734
295646.00	738
296388.00	742
297114.00	726
297848.00	734
298564.00	716
299267.00	703
299956.00	689
300631.00	675
301304.00	673
301962.00	658
302590.00	628
303224.00	634
303851.00	627
304499.00	648
305165.00	666
305848.00	683
306535.00	687
307245.00	710
307959.00	714
308693.00	734
309443.00	750
310224.00	781
310966.00	742
311723.00	757
312494.00	771
313249.00	755
313987.00	738
314740.00	753
315503.00	763
316241.00	738
316989.00	748
317731.00	742
318484.00	753
319224.00	740
319977.00	753
320746.00	769
321480.00	734
322239.00	759
322979.00	740
323686.00	707
324387.00	701
325088.00	701
325775.00	687
326472.00	697
327173.00	701
327870.00	697
328573.00	703
329280.00	707
329996.00	716
330724.00	728
331454.00	730
332188.00	734
332930.00	742
333658.00	728
334396.00	738
335132.00	736
335856.00	724
336582.00	726
337320.00	738
338072.00	752
338804.00	732
339540.00	736
340286.00	746
341024.00	738
341770.00	746
342523.00	753
343253.00	730
343979.00	726
344699.00	720
345415.00	716
346124.00	709
346834.00	710
347560.00	726
348280.00	720
349018.00	738
349775.00	757
350550.00	775
351296.00	746
352057.00	761
352838.00	781
353588.00	750
354345.00	757
355120.00	775
355936.00	816
356705.00	769
357484.00	779
358269.00	785
359024.00	755
359793.00	769
360576.00	783
361341.00	765
362116.00	775
362909.00	793
363684.00	775
364437.00	753
365194.00	757
365957.00	763
366697.00	740
367441.00	744
368191.00	750
368931.00	740
369684.00	753
370459.00	775
371205.00	746
371980.00	775
372788.00	808
373608.00	820
374401.00	793
375231.00	830
376074.00	843
376878.00	804
377686.00	808
378498.00	812
379300.00	802
380073.00	773
380854.00	781
381629.00	775
382402.00	773
383195.00	793
383978.00	783
384749.00	771
385526.00	777
386260.00	734
386986.00	726
387681.00	695
388358.00	677
389016.00	658
389680.00	664
390353.00	673
391077.00	724
391873.00	796
392636.00	763
393432.00	796
394238.00	806
395007.00	769
395762.00	755
396517.00	755
397280.00	763
398014.00	734
398758.00	744
399517.00	759
400257.00	740
401012.00	755
401781.00	769
402558.00	777
403311.00	753
404074.00	763
404859.00	785
405614.00	755
406385.00	771
407154.00	769
407913.00	759
408645.00	732
409379.00	734
410131.00	752
410863.00	732
411609.00	746
412366.00	757
413112.00	746
413867.00	755
414654.00	787
415402.00	748
416152.00	750
416911.00	759
417684.00	773
418430.00	746
419183.00	753
419956.00	773
420704.00	748
421448.00	744
422182.00	734
422898.00	716
423626.00	728
424348.00	722
425084.00	736
425818.00	734
426570.00	752
427345.00	775
428100.00	755
428877.00	777
429664.00	787
430437.00	773
431228.00	791
432044.00	816
432878.00	834
433651.00	773
434434.00	783
435225.00	791
435988.00	763
436755.00	767
437536.00	781
438289.00	753
439042.00	753
439805.00	763
440560.00	755
441296.00	736
442030.00	734
442762.00	732
443490.00	728
444232.00	742
444984.00	752
445749.00	765
446487.00	738
447246.00	759
447999.00	753
448733.00	734
449488.00	755
450263.00	775
451009.00	746
451772.00	763
452541.00	769
453306.00	765
454061.00	755
454816.00	755
455562.00	746
