"Time" "IBI"
"1" 552 564
"2" 1116 564
"3" 1701 585
"4" 2337 636
"5" 3042 705
"6" 3768 726
"7" 4469 701
"8" 5176 707
"9" 5910 734
"10" 6605 695
"11" 7294 689
"12" 7971 677
"13" 8639 667.999999999999
"14" 9260 621
"15" 9883 623.000000000001
"16" 10531 648
"17" 11210 679
"18" 11903 693
"19" 12610 706.999999999999
"20" 13348 738.000000000001
"21" 14057 709
"22" 14777 720.000000000001
"23" 15517 739.999999999998
"24" 16210 693.000000000001
"25" 16901 690.999999999999
"26" 17582 681.000000000001
"27" 18255 672.999999999998
"28" 18926 671.000000000003
"29" 19597 670.999999999999
"30" 20276 678.999999999999
"31" 20932 656.000000000002
"32" 21586 654
"33" 22236 649.999999999999
"34" 22904 667.999999999999
"35" 23562 658.000000000001
"36" 24198 635.999999999999
"37" 24821 623.000000000001
"38" 25436 614.999999999998
"39" 26055 619
"40" 26685 630.000000000003
"41" 27358 672.999999999998
"42" 28076 718
"43" 28777 701
"44" 29505 727.999999999998
"45" 30239 734.000000000002
"46" 30940 701
"47" 31635 695
"48" 32351 715.999999999997
"49" 33046 695
"50" 33739 692.999999999998
"51" 34432 693.000000000005
"52" 35101 668.999999999997
"53" 35774 673.000000000002
"54" 36451 677
"55" 37132 680.999999999997
"56" 37819 687.000000000005
"57" 38514 695
"58" 39226 711.999999999996
"59" 39933 707.000000000001
"60" 40638 704.999999999998
"61" 41356 718.000000000004
"62" 42063 707.000000000001
"63" 42762 698.999999999998
"64" 43459 697.000000000003
"65" 44166 707.000000000001
"66" 44853 686.999999999998
"67" 45526 673.000000000002
"68" 46201 674.999999999997
"69" 46861 660.000000000004
"70" 47509 647.999999999996
"71" 48171 661.999999999999
"72" 48850 679.000000000002
"73" 49523 673.000000000002
"74" 50191 667.999999999999
"75" 50880 689
"76" 51567 686.999999999998
"77" 52233 666.000000000004
"78" 52916 683
"79" 53591 674.999999999997
"80" 54260 668.999999999997
"81" 54953 693.000000000005
"82" 55634 680.999999999997
"83" 56307 673.000000000002
"84" 56996 689
"85" 57673 677
"86" 58313 640.000000000001
"87" 58961 647.999999999996
"88" 59621 660.000000000004
"89" 60289 667.999999999999
"90" 61015 725.999999999999
"91" 61733 718.000000000004
"92" 62447 713.999999999999
"93" 63159 711.999999999996
"94" 63856 697.000000000003
"95" 64535 678.999999999995
"96" 65201 666.000000000011
"97" 65896 694.999999999993
"98" 66589 692.999999999998
"99" 67268 679.000000000002
"100" 67949 680.999999999997
"101" 68617 668.000000000006
"102" 69273 655.999999999992
"103" 69901 628
"104" 70518 617.000000000004
"105" 71125 606.999999999999
"106" 71750 625
"107" 72384 634
"108" 73020 635.999999999996
"109" 73678 658.000000000001
"110" 74361 683.000000000007
"111" 75062 700.999999999993
"112" 75763 701.000000000008
"113" 76487 723.99999999999
"114" 77197 710.000000000008
"115" 77906 709.000000000003
"116" 78616 709.999999999994
"117" 79340 724.000000000004
"118" 80049 709.000000000003
"119" 80758 708.999999999989
"120" 81465 707.000000000008
"121" 82193 727.999999999994
"122" 82905 712.000000000003
"123" 83610 704.999999999998
"124" 84330 719.999999999999
"125" 85060 730.000000000004
"126" 85772 712.000000000003
"127" 86486 713.999999999999
"128" 87232 745.999999999995
"129" 87958 725.999999999999
"130" 88676 718.000000000004
"131" 89410 733.999999999995
"132" 90156 746.000000000009
"133" 90900 744
"134" 91628 727.999999999994
"135" 92380 751.999999999995
"136" 93102 722.000000000008
"137" 93795 692.999999999998
"138" 94507 712.000000000003
"139" 95219 712.000000000003
"140" 95926 706.999999999994
"141" 96652 725.999999999999
"142" 97394 742.000000000004
"143" 98116 721.999999999994
"144" 98823 707.000000000008
"145" 99553 729.99999999999
"146" 100287 734.000000000009
"147" 100997 709.999999999994
"148" 101690 692.999999999998
"149" 102395 704.999999999998
"150" 103080 685.000000000002
"151" 103732 652.000000000001
"152" 104355 623.000000000005
"153" 105019 664.000000000001
"154" 105661 641.999999999996
"155" 106288 626.999999999995
"156" 106895 606.999999999999
"157" 107496 601.000000000013
"158" 108103 606.999999999999
"159" 108718 614.999999999995
"160" 109337 619
"161" 109962 625
"162" 110604 641.999999999996
"163" 111275 671.000000000006
"164" 111946 670.999999999992
"165" 112606 660.000000000011
"166" 113287 680.999999999997
"167" 113978 691.000000000003
"168" 114646 667.999999999992
"169" 115315 668.999999999997
"170" 116012 697.000000000003
"171" 116687 674.999999999997
"172" 117347 660.000000000011
"173" 118032 684.999999999988
"174" 118713 681.000000000012
"175" 119384 670.999999999992
"176" 120065 680.999999999997
"177" 120766 701.000000000008
"178" 121445 679.000000000002
"179" 122113 667.999999999992
"180" 122814 701.000000000008
"181" 123505 691.000000000003
"182" 124178 672.999999999988
"183" 124875 697.000000000003
"184" 125591 716.000000000008
"185" 126278 686.999999999998
"186" 126975 697.000000000003
"187" 127707 731.999999999999
"188" 128416 708.999999999989
"189" 129107 691.000000000003
"190" 129819 712.000000000018
"191" 130508 688.999999999993
"192" 131160 651.999999999987
"193" 131810 650.000000000006
"194" 132444 634.000000000015
"195" 133084 639.999999999986
"196" 133720 635.999999999996
"197" 134360 640.000000000015
"198" 135037 676.999999999992
"199" 135746 709.000000000003
"200" 136443 697.000000000003
"201" 137134 691.000000000003
"202" 137856 721.99999999998
"203" 138574 718.000000000018
"204" 139273 698.999999999984
"205" 139976 703.000000000003
"206" 140724 747.99999999999
"207" 141456 731.999999999999
"208" 142182 726.000000000028
"209" 142955 772.999999999996
"210" 143742 786.999999999978
"211" 144490 748.000000000019
"212" 145236 745.999999999981
"213" 145986 750
"214" 146710 724.000000000018
"215" 147422 711.999999999989
"216" 148174 752.00000000001
"217" 148929 754.999999999995
"218" 149669 740.000000000009
"219" 150438 769.000000000005
"220" 151225 786.999999999978
"221" 151988 763.000000000005
"222" 152738 750
"223" 153495 757.000000000005
"224" 154227 731.999999999999
"225" 154945 717.999999999989
"226" 155689 744
"227" 156421 731.999999999999
"228" 157145 724.000000000018
"229" 157900 754.999999999995
"230" 158661 760.999999999996
"231" 159401 740.000000000009
"232" 160139 738
"233" 160887 747.99999999999
"234" 161613 725.999999999999
"235" 162333 719.999999999999
"236" 163077 744
"237" 163813 736.000000000018
"238" 164535 721.99999999998
"239" 165267 731.999999999999
"240" 166005 738
"241" 166729 724.000000000018
"242" 167434 704.999999999984
"243" 168162 728.000000000009
"244" 168886 723.99999999999
"245" 169595 709.000000000003
"246" 170319 724.000000000018
"247" 171063 744
"248" 171785 721.99999999998
"249" 172499 713.999999999999
"250" 173233 734.000000000009
"251" 173955 722.000000000008
"252" 174665 709.99999999998
"253" 175389 724.000000000018
"254" 176123 733.99999999998
"255" 176847 724.000000000018
"256" 177581 734.000000000009
"257" 178333 751.999999999981
"258" 179065 731.999999999999
"259" 179777 712.000000000018
"260" 180501 723.99999999999
"261" 181233 731.999999999999
"262" 181955 722.000000000008
"263" 182669 713.999999999999
"264" 183399 729.99999999999
"265" 184121 722.000000000008
"266" 184839 717.999999999989
"267" 185583 744
"268" 186319 736.000000000018
"269" 187045 725.999999999999
"270" 187789 744
"271" 188531 741.99999999999
"272" 189259 728.000000000009
"273" 189964 704.999999999984
"274" 190651 687.000000000012
"275" 191330 679.000000000002
"276" 192009 679.000000000002
"277" 192698 688.999999999993
"278" 193387 688.999999999993
"279" 194064 676.999999999992
"280" 194728 664.000000000016
"281" 195388 659.999999999997
"282" 196042 653.999999999996
"283" 196702 659.999999999997
"284" 197368 665.999999999997
"285" 198051 683.000000000021
"286" 198748 696.999999999974
"287" 199431 683.000000000021
"288" 200118 686.999999999983
"289" 200821 703.000000000003
"290" 201514 693.000000000012
"291" 202199 685.000000000002
"292" 202902 703.000000000003
"293" 203618 715.99999999998
"294" 204332 713.999999999999
"295" 205042 710.000000000008
"296" 205776 734.000000000009
"297" 206504 727.99999999998
"298" 207220 716.000000000008
"299" 207962 742.000000000019
"300" 208704 741.99999999999
"301" 209432 728.000000000009
"302" 210162 729.99999999999
"303" 210906 744
"304" 211632 725.999999999999
"305" 212360 728.000000000009
"306" 213113 752.999999999986
"307" 213865 752.00000000001
